"id","jurisdiction","source_record_label","primary_url","source_topics","source_status","base_status","source_summary","mapped_topics","inferred_year","verification_status","source_page","source_row_number"
"nhgri-2aaafd54c6a30ae81b35","Arizona","2007 State Bills Arizona 2007 HB 2629","http://www.azleg.gov/DocumentsForBill.asp?Bill_Number=HB2629&Session_ID=85","Health Insurance Coverage","Died","died","This bill requires hospital or medical service corporations, health care service organizations, and individual, group and blanket disability insurers who provide health care coverage to pregnant women to cover the cost of genetic testing for thrombophilia if it is ordered by a physician. Measure failed.","health-insurance","2007","reviewed-nhgri","https://www.genome.gov/about-genomics/policy-issues/Genome-Statute-Legislation-Database","1"
"nhgri-9c09efcd2a8002b1f612","California","2007 State Bills California 2007 SB 164","http://www.legislature.ca.gov/cgi-bin/port-postquery?bill_number=sb_164&sess=0708&house=B&author=migden","Use of Residual Newborn Screening Specimens","Died","died","This bill amends existing law pertaining to pregnancy blood samples. Existing law provides for the use of samples for approved research projects and establishes confidentiality and privacy protections with regard to samples and related personal information. This bill renames the term ""pregnancy"" blood samples by referring to them as ""newborn"" blood samples. Measure failed.","newborn-screening","2007","reviewed-nhgri","https://www.genome.gov/about-genomics/policy-issues/Genome-Statute-Legislation-Database","2"
"nhgri-36b0d9a4b4a3e9273cbd","California","2007 State Bills California 2007 SB 962","http://www.legislature.ca.gov/cgi-bin/port-postquery?bill_number=sb_962&sess=0708&house=B&author=migden","Use of Residual Newborn Screening Specimens","Enacted","enacted","This bill requires the health department to charge a fee to researchers and health care providers who have been approved by the department to use stored umbilical cord, pregnancy blood, or newborn blood samples for research to cover the costs of administering the program. Signed by the Governor October 11, 2007. (The bill goes into effect only if 2007 AB 34, which was enacted during the 2007 session, becomes law before January 2008.)","newborn-screening","2007","reviewed-nhgri","https://www.genome.gov/about-genomics/policy-issues/Genome-Statute-Legislation-Database","3"
"nhgri-47c55796e02a8cba4e7d","Florida","2007 State Bills Florida 2007 SB 2384","https://www.flsenate.gov/Session/Bill/2007/2384","Health Insurance Coverage","Died","died","This bill requires individual and group health insurers to provide benefits or coverage for periodic colorectal cancer examinations and laboratory tests for individuals over 50 and for individuals under 50 who are considered high risk. Definition of high risk includes individuals who, because of the presence of recognized genetic markers, face a higher than normal risk of colorectal cancer. Measure failed.","health-insurance","2007","reviewed-nhgri","https://www.genome.gov/about-genomics/policy-issues/Genome-Statute-Legislation-Database","4"
"nhgri-de48c294b081afedd5d4","Georgia","2007 State Bills Georgia 2007 HB 276","http://www.legis.ga.gov/Legislation/en-US/display/20072008/HB/276","Employment Nondiscrimination|Other Lines of Insurance Nondiscrimination|Privacy","Died","died","This bill creates guidelines such as consent requirements for the creation and storage of biometric information, which is defined to include DNA samples. The bill also prohibits life insurers from requiring genetic information to determine an applicants eligibility or rates to be charged for life insurance; however, any pre-existing genetic information must be supplied to the insurance company upon application. The bill forbids employers or employment agencies from using information derived from genetic testing for identification purposes or as a condition of employment. The bill provides remedies for individuals whose genetic information is inappropriately used. Measure failed.","employment|genetic-discrimination|genetic-privacy","2007","reviewed-nhgri","https://www.genome.gov/about-genomics/policy-issues/Genome-Statute-Legislation-Database","5"
"nhgri-1287db71c242bacd3342","Idaho","2007 State Bills Idaho 2007 SB 1107","https://legislature.idaho.gov/sessioninfo/2007/legislation/S1107/","Health Insurance Nondiscrimination","Died","died","The bill amends the state genetic nondiscrimination law by prohibiting discrimination on the basis of genetic information or a genetic test in the issuance of coverage, or the fixing of rates, terms or conditions, for any policy or contract of hospital or medical insurance or any health benefit plan. Measure failed.","genetic-discrimination|health-insurance","2007","reviewed-nhgri","https://www.genome.gov/about-genomics/policy-issues/Genome-Statute-Legislation-Database","6"
"nhgri-4987b580376e4f7b0e4f","Illinois","2007 State Bills Illinois 2007 SB 1365","http://www.ilga.gov/legislation/BillStatus.asp?DocNum=1365&GAID=9&DocTypeID=SB&LegId=29454&SessionID=51&GA=95","Health Insurance Coverage","Enacted","enacted","This bill requires coverage for a mammogram at the age and intervals considered medically necessary by the woman's health care provider for women under 40 years of age and having a family history of breast cancer, prior personal history of breast cancer, positive genetic testing, or other risk factors. This bill also requires coverage for a comprehensive ultrasound screening of an entire breast or breasts if a mammogram demonstrates heterogeneous or dense breast tissue based on the Breast Imaging Reporting and Data System established by the American College of Radiology or if the woman is at increased risk for breast cancer due to family history or prior personal history of breast cancer, positive genetic testing, or other indications as determined by a woman's health care provider. Signed by the Governor August 24, 2007.","health-insurance","2007","reviewed-nhgri","https://www.genome.gov/about-genomics/policy-issues/Genome-Statute-Legislation-Database","7"
"nhgri-5adc1cb9507b6d40da64","Illinois","2007 State Bills Illinois 2007 SB 939","http://www.ilga.gov/legislation/BillStatus.asp?DocNum=939&GAID=9&DocTypeID=SB&LegId=29062&SessionID=51&GA=95","Employment Nondiscrimination|Privacy","Died","died","This bill amends the Genetic Information privacy Act and makes technical changes to the section of the law pertaining to employers. Measure failed.","employment|genetic-discrimination|genetic-privacy","2007","reviewed-nhgri","https://www.genome.gov/about-genomics/policy-issues/Genome-Statute-Legislation-Database","8"
"nhgri-f19cac6835d01cb4993f","Illinois","2007 State Bills Illinois 2007 SB 940","http://www.ilga.gov/legislation/BillStatus.asp?DocNum=940&GAID=9&DocTypeID=SB&LegId=29034&SessionID=51&GA=95","Privacy","Died","died","This bill was introduced as an amendment to the Genetic Information privacy Act. All language was stricken in a senate amendment and new language was added related to firearms.","genetic-privacy","2007","reviewed-nhgri","https://www.genome.gov/about-genomics/policy-issues/Genome-Statute-Legislation-Database","9"
"nhgri-1110a3aa38df995e1db8","Illinois","2007 State Bills Illinois 2007 SB 941","http://www.ilga.gov/legislation/BillStatus.asp?DocNum=941&GAID=9&DocTypeID=SB&LegId=29035&SessionID=51&GA=95","Privacy","Died","died","This bill was introduced as an amendment to the Genetic Information privacy Act. All language was stricken in a senate amendment and new language was added related to cancer drugs.","genetic-privacy","2007","reviewed-nhgri","https://www.genome.gov/about-genomics/policy-issues/Genome-Statute-Legislation-Database","10"
