"id","jurisdiction","jurisdiction_code","jurisdiction_type","record_type","title","identifier","status","introduced_date","signed_date","effective_date","last_action_date","last_reviewed","record_version","verification_status","topics","summary"
"al-hb-21-2024","Alabama","AL","state","legislation","Alabama Genetic Data Privacy Act","HB 21 (2024)","enacted","2024-02-06","2024-05-16","2024-10-01","2024-05-16","2026-08-31","1.0","verified-primary","genetic-privacy|direct-to-consumer-testing|consent|data-sharing|data-deletion|sample-destruction","Alabama HB 21 enacted the Alabama Genetic Data Privacy Act, which regulates covered direct-to-consumer genetic testing companies and their contractors. The act requires privacy notices, consent for specified uses and disclosures, and procedures for accessing or deleting genetic data and destroying samples."
"al-hb-263-2026","Alabama","AL","state","legislation","Biological and neural data in health and fitness apps","HB 263 (2026)","died","2026-01-15","","","2026-03-11","2026-08-31","1.0","verified-primary","genetic-privacy|consent|data-sharing","Alabama HB 263 proposed restrictions on health and fitness apps that collect biological or neural data. Biological data included information generated by processing or analyzing genetic and other biological properties when used to identify an individual."
"al-hb-265-2026","Alabama","AL","state","legislation","Unlawful use of DNA","HB 265 (2026)","died","2026-01-15","","","2026-02-05","2026-08-31","1.0","verified-primary","genetic-privacy|consent|data-sharing|data-sale|law-enforcement","Alabama HB 265 renewed a proposal to create first-, second-, and third-degree offenses for specified intentional collection, retention, testing, disclosure, sale, or transfer of another person's DNA sample or genetic data without express consent."
"al-hb-351-2026","Alabama","AL","state","legislation","Alabama Personal Data Protection Act","HB 351 (2026)","enacted","2026-01-29","2026-04-17","2027-05-01","2026-04-17","2026-08-31","1.0","verified-primary","genetic-privacy|consent|data-sharing|data-sale|data-deletion","Alabama HB 351 enacted the Alabama Personal Data Protection Act. The act classifies genetic or biometric data processed to uniquely identify a person as sensitive data and establishes broader consumer rights and controller obligations for covered businesses."
"al-hb-436-2025","Alabama","AL","state","legislation","Biological and neural data protections","HB 436 (2025)","died","2025-03-18","","","2025-03-18","2026-08-31","1.0","verified-primary","genetic-privacy|consent|data-sharing","Alabama HB 436 proposed restrictions on covered entities that maintain biological or neural data. Its biological-data definition included data generated through processing or analysis of genetic and other biological properties."
"al-hb-449-2025","Alabama","AL","state","legislation","Unlawful use of DNA","HB 449 (2025)","died","2025-03-18","","","2025-05-06","2026-08-31","1.0","verified-primary","genetic-privacy|consent|data-sharing|data-sale|law-enforcement","Alabama HB 449 proposed first-, second-, and third-degree offenses for specified intentional collection, retention, testing, disclosure, sale, or transfer of another person's DNA sample or genetic data without express consent."
"al-sb-58-2024","Alabama","AL","state","legislation","Genetic privacy and insurance protections","SB 58 (2024)","died","2024-02-06","","","2024-02-06","2026-08-31","1.0","verified-primary","genetic-privacy|genetic-discrimination|consent|data-sharing|health-insurance|life-insurance|long-term-care-insurance","Alabama SB 58 proposed express-consent requirements for collecting, analyzing, using, retaining, or transferring DNA. It also proposed confidentiality and ownership protections for DNA-analysis results and restrictions on insurer use of genetic information."
"ca-sb-41-2021","California","CA","state","legislation","Genetic Information Privacy Act","SB 41 (2021)","enacted","2020-12-07","2021-10-06","2022-01-01","","2026-08-31","1.0","verified-primary","genetic-privacy|direct-to-consumer-testing|consent|data-deletion|sample-destruction","California SB 41 established requirements for covered direct-to-consumer genetic testing companies, including privacy notices, express consent for specified uses and disclosures, security practices, access and deletion procedures, and biological-sample destruction following consent revocation."
"federal-gina-2008","United States","US","federal","statute","Genetic Information Nondiscrimination Act of 2008","Public Law 110-233","statute","","2008-05-21","","","2026-08-31","1.0","verified-primary","genetic-discrimination|employment|health-insurance","GINA restricts the use of genetic information in health coverage and employment. Its health-coverage and employment provisions have different effective timelines and contain definitions, exceptions, and enforcement provisions that should be reviewed in the statutory text."
"federal-hipaa-genetic-information-2013","United States","US","federal","regulation","HIPAA Privacy Rule treatment of genetic information","78 FR 5566","approved","","","2013-03-26","","2026-08-31","1.0","verified-primary","genetic-privacy|health-insurance","The 2013 HIPAA final rule implemented GINA-related changes by treating genetic information as health information and restricting covered health plans from using or disclosing genetic information for underwriting."
"federal-nih-gds-policy-2014","United States","US","federal","policy","NIH Genomic Data Sharing Policy","NOT-OD-14-124","approved","","","2015-01-25","","2026-08-31","1.0","verified-primary","research|consent|data-sharing","The NIH Genomic Data Sharing Policy establishes expectations for the broad and responsible sharing of large-scale genomic data generated by NIH-funded research and describes institutional certification, consent, repository, and data-access considerations."
"ny-cvr-79-l","New York","NY","state","statute","Confidentiality of records of genetic tests","New York Civil Rights Law § 79-l","statute","","","","","2026-08-31","1.0","verified-primary","genetic-privacy|consent|research|sample-destruction","New York Civil Rights Law section 79-l establishes written informed-consent requirements for genetic testing, treats genetic-test records and results as confidential, and sets rules for disclosure, research uses, retention, and destruction of biological samples, subject to stated exceptions."
